Filename,Punteggio,PSNR Score,SSIM Score,NIMA Score,NIQE Score,PIQE Score,BRISQUE Score
Min : Max (Globali),1.7299733056416877 : 5.07625407065395,0.0 : 1.0,0.0 : 1.0,0.0 : 1.0,0.0 : 1.0,0.0 : 1.0,0.0 : 1.0

Photo 1 Min : Max (Locali),1.8272132812644921 : 4.698408558190325,0.29120031158062815 : 0.9756757183723407,0.41646272630687564 : 0.8927056442457526,0.07863501504584686 : 0.7873325494505087,0.16628598737764091 : 0.9093893614852303,0.15212223125488847 : 0.675106356545988,0.23443958297123949 : 0.8893039947605784
image_1_candidate_1387.jpg,4.698408558190325,0.9756757183723407,0.8877008613877101,0.6809713278332556,0.2635039580269156,0.2723092322054522,0.3101261591706138
image_1_candidate_89.jpg,3.711048809389758,0.456849040488865,0.5969722582857968,0.6717230322435618,0.2144917181860938,0.480456626720527,0.3195471767218454
image_1_candidate_1066.jpg,3.8999311850318468,0.29120031158062815,0.6711491007392073,0.7536561514841527,0.3317604510851665,0.15618710700045374,0.32812682068652105
image_1_candidate_248.jpg,4.448770992408332,0.6957295833949113,0.8142518450894437,0.75770767359842,0.3248006347645018,0.15872272082942027,0.3353947540805205
image_1_candidate_1048.jpg,2.2205738282465646,0.3424465153108643,0.4402909359050764,0.6719549892630681,0.8702561713750464,0.47455844609681963,0.8893039947605784
image_1_candidate_409.jpg,4.282886765253761,0.5722215918649223,0.7443728303612012,0.7526749921263105,0.29237452799129154,0.17779750846561582,0.3162106126417653
image_1_candidate_806.jpg,4.268307806129187,0.6129474604596261,0.8895574983301228,0.6922060041076592,0.3501511064802791,0.25848358750650924,0.317768462781433
image_1_candidate_712.jpg,2.4625257808705996,0.352345736251446,0.4519137862049366,0.665902513677312,0.7548977917054763,0.5207136890994221,0.7320247744581966
image_1_candidate_1084.jpg,3.534638148507108,0.40498774066538057,0.5610891766052274,0.7453596381038453,0.204263348253479,0.39993040204445024,0.5726046565694157
image_1_candidate_593.jpg,4.151780678380187,0.5827723386872176,0.7779402001731598,0.7076647152840606,0.369379819247668,0.18534124323446904,0.3618755132821133
image_1_candidate_1198.jpg,3.708870525449342,0.4573783906595928,0.5951763699609237,0.6957291768834288,0.19877611584076438,0.4804879668915865,0.36014932932225296
image_1_candidate_304.jpg,2.7211577157630185,0.36227246762283954,0.47745898394637376,0.6553558919271707,0.5944370466124651,0.5796118231397777,0.5998807579811231
image_1_candidate_1219.jpg,3.421404451355712,0.3892439374820648,0.5500577708532647,0.7101431643529655,0.2672521644319763,0.5518222777864581,0.4089659791141483
image_1_candidate_535.jpg,4.176690393962874,0.5250075495894209,0.7062849951174419,0.7250896418345935,0.24168033672080416,0.19841595110267354,0.33959550475510425
image_1_candidate_221.jpg,4.362240267872503,0.6896879128024809,0.7922460381194238,0.7581691885986626,0.3500545659713915,0.17960345610316059,0.34820484957351155
image_1_candidate_534.jpg,4.120090299895047,0.5137298645656607,0.6999025140005598,0.7393898549137417,0.26914003054108826,0.2205233680056046,0.3432685350382224
image_1_candidate_844.jpg,3.955490827514046,0.3975068542520708,0.7595610643554067,0.7393691548720439,0.3058749249134802,0.33010187275327724,0.30496944829871814
image_1_candidate_671.jpg,4.023232359221005,0.5194564194402436,0.6455472830589993,0.7282096655317798,0.1992884646584676,0.3790658151072247,0.29162672904432574
image_1_candidate_549.jpg,4.106874900553324,0.6720233735890936,0.726159863358499,0.7153359453068517,0.4309960301231676,0.2614203827213163,0.31422786885663667
image_1_candidate_667.jpg,4.3143742441624635,0.5451308844582363,0.7450947107066498,0.7771151375285816,0.2529627193859554,0.1864049398372407,0.3135988293078084
image_1_candidate_638.jpg,4.284174403440558,0.6186467485902203,0.7885215384922042,0.6982348007776104,0.29845790718552073,0.1704753536881278,0.3522954235458281
image_1_candidate_47.jpg,3.9248445344102394,0.44135277874829265,0.7042659213570419,0.7074355209311297,0.24260286148089985,0.2987377953153505,0.38686902982997473
image_1_candidate_1166.jpg,4.08313379214582,0.598509451947907,0.645141720739679,0.7376819439415385,0.3407279578663648,0.3230317836457001,0.23443958297123949
image_1_candidate_1265.jpg,4.635596937187405,0.8422238550526594,0.8803104140186621,0.7211901701615927,0.2681877479565933,0.15568265402286427,0.3842571000660521
image_1_candidate_413.jpg,4.186383835557493,0.5675917867571777,0.7382241066366364,0.7648382767550894,0.36421356824223283,0.20281067599961913,0.31724609034955903
image_1_candidate_145.jpg,4.185890372132654,0.512669319634096,0.6574297782611851,0.7713728405853842,0.21326676042626855,0.3025911312850129,0.23972367463673025
image_1_candidate_415.jpg,3.2098877377500097,0.39164333538858376,0.4908470872335791,0.708131374160843,0.5281680004587391,0.4308935316629276,0.42167252691132945
image_1_candidate_234.jpg,3.315991543383927,0.3624644215796586,0.5148742258966329,0.6472685317256018,0.25408114941442983,0.5161794410234272,0.438355045380109
image_1_candidate_1111.jpg,3.893149665921115,0.5326184948939129,0.6014842529169355,0.7246872893310817,0.2697155219541974,0.4314439113426223,0.26448093792399513
image_1_candidate_934.jpg,4.0329522700598694,0.5238748872603491,0.7702732210349967,0.7537666041285517,0.3998055840368933,0.22664308031278574,0.3885137780143498
image_1_candidate_796.jpg,4.210551424147893,0.5790031947279072,0.7579287514354832,0.7067828163382763,0.2753887468374833,0.21021707930969286,0.3475575122065972
image_1_candidate_151.jpg,4.128924262351511,0.5121432195968382,0.657348714495215,0.7840230440006346,0.26283956663859254,0.30875541216779595,0.25299573693478894
